Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
foo/arrayOf-static/1,4.3383425717176515e-9,4.306055246303997e-9,4.372439459066096e-9,1.174337568610811e-10,9.810530531943291e-11,1.501467781222662e-10
foo/arrayOf/1,4.850508653267168e-9,4.816877881981644e-9,4.880615584487079e-9,1.048055853952478e-10,8.644515480644361e-11,1.3803154207333684e-10
foo/template-haskell/1,5.135151251922808e-9,5.063287197042845e-9,5.2356497422532845e-9,2.703544136521283e-10,2.307328430692877e-10,3.1858198558037567e-10
foo/dynamic/1,6.560530729624124e-9,6.4001834592139185e-9,6.823046357517717e-9,6.700259766822659e-10,4.6234697839121674e-10,1.0303140897314673e-9
foo/arrayOf-static/50,4.200713117099456e-9,4.114107318888561e-9,4.3103159013627685e-9,3.4111497120771573e-10,2.5427431539238205e-10,4.746069761559117e-10
foo/arrayOf/50,1.9251583671427382e-8,1.913741035969859e-8,1.9388377079400894e-8,4.1383811620274586e-10,3.3846222906896375e-10,5.424481203073501e-10
foo/template-haskell/50,4.3379262139047405e-8,4.314710699788932e-8,4.368472123433294e-8,9.197797836167098e-10,7.379950096368875e-10,1.2882366837261567e-9
foo/dynamic/50,8.436507033489964e-8,8.3782722431586e-8,8.508292009398579e-8,2.1614282952426625e-9,1.763471779313554e-9,2.8702524160444638e-9
foo/arrayOf-static/100,4.223641441055068e-9,4.2008911962814335e-9,4.2511630772540595e-9,8.576351322406564e-11,7.074531388188842e-11,1.212331663971787e-10
foo/arrayOf/100,3.3240835474311163e-8,3.305912957222351e-8,3.351945425084529e-8,7.767482203209185e-10,6.161264444734956e-10,9.53990003781329e-10
foo/template-haskell/100,8.489208252341589e-8,8.435008026460469e-8,8.55631603627435e-8,2.0329295193144776e-9,1.7088169151877869e-9,2.51182263154338e-9
foo/dynamic/100,1.6804836644974504e-7,1.6704169414941727e-7,1.6934153088340322e-7,3.927857993978578e-9,3.2767191879066058e-9,4.93116704391194e-9
foo/arrayOf-static/150,4.310299925257597e-9,4.2807819216743865e-9,4.3491715250452545e-9,1.1396999203693892e-10,7.800311606266314e-11,1.7856063262087722e-10
foo/arrayOf/150,4.8130343236879734e-8,4.784621071268513e-8,4.85343595631339e-8,1.1110180028565977e-9,8.146730777870882e-10,1.8699367210661276e-9
foo/template-haskell/150,1.1978524369037478e-7,1.1902768951997049e-7,1.2069720236530184e-7,2.783659136661051e-9,2.264877392375511e-9,3.489127136759078e-9
foo/dynamic/150,2.410179889799084e-7,2.3949080705949316e-7,2.428572189372626e-7,5.920769382957e-9,4.542952760114821e-9,8.09951674029859e-9
foo/arrayOf-static/200,4.226534967608301e-9,4.2043467445242336e-9,4.254543856707316e-9,8.446221157719826e-11,6.848136514530757e-11,1.0701593222578598e-10
foo/arrayOf/200,6.248040609956747e-8,6.212084827710218e-8,6.293964283551501e-8,1.368237025359422e-9,1.1839103352586365e-9,1.7893082109904636e-9
foo/template-haskell/200,1.5555961526358776e-7,1.5455686133551724e-7,1.5660615513843398e-7,3.634558593006761e-9,3.112589917078738e-9,4.4318034007177725e-9
foo/dynamic/200,3.243583202419965e-7,3.215300525630596e-7,3.2704779846706113e-7,9.012599924239354e-9,7.508975789968998e-9,1.1386418260515668e-8
foo/arrayOf-static/250,4.03780245422987e-9,4.012878388385214e-9,4.064918477515019e-9,8.932989884184127e-11,6.991421535059273e-11,1.2287342860294922e-10
foo/arrayOf/250,7.477847567905321e-8,7.43558035892171e-8,7.5283359510119e-8,1.5600542213053406e-9,1.3754598836424092e-9,1.8003716180438002e-9
